Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
MSI,126.62,-48.37,-8.45,7.43,16.97,108.54%,34.11%,Computers and Technology,22243500000,22.24,2.56,120.77,3/23/2020,187.49,126.09,4.62,32.47,Finance
MTB,91.67,-47.56,-15.62,13.79,6.95,-23.03%,46.56%,Finance,12441509000,12.44,4.4,87.64,3/23/2020,174.93,95.86,4.4,47.6,Computers and Technology
MTD,630.58,-100.47,-28.2,22.81,28.77,97.97%,21.02%,Computers and Technology,15721225000,15.72,0,579.4,3/23/2020,873.51,656.24,8.12,27.81,Computers and Technology
MU,41.22,-10.58,-2.26,2.31,17.27,46.65%,43.09%,Computers and Technology,45699724000,45.7,0,31.13,3/18/2020,61.19,39.89,24.48,32.64,Computers and Technology
MXIM,48.64,-7.24,1.08,2.17,21.21,35.80%,-5.68%,Computers and Technology,12866258000,12.87,1.92,41.93,3/17/2020,65.73,46.02,13.8,26,Medical
MYL,13.74,-2.55,-1.14,4.42,3.23,-80.18%,48.98%,Medical,7185184000,7.19,0,12.75,3/16/2020,28.45,14.26,7.21,51.7,Oils-Energy
NBL,6.18,-9.01,0.82,-0.34,0,-87.61%,-13.00%,Oils-Energy,3060603000,3.06,0.48,2.73,3/18/2020,28.4,5.89,55.83,78.24,Consumer Discretionary
NCLH,8.46,-25.16,-3.56,5.09,1.88,-84.59%,106.74%,Consumer Discretionary,1790905000,1.79,0,7.03,3/18/2020,59.78,9.55,16.9,85.85,Finance
NDAQ,95.22,-14.85,2.44,5,18.45,85.77%,21.77%,Finance,15504527000,15.5,1.88,71.66,3/23/2020,120.23,92.27,24.74,20.8,Utilities
NEE,221.64,-43.51,-10.31,8.38,26.04,115.87%,12.83%,Utilities,1.10726E+11,110.73,5.6,174.8,3/23/2020,283.35,218.23,21.13,21.78,Basic Materials
