Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
EQR,"Equity Residential",69.79,Average,Weak,Strongest,3.38,+3.41%,+1.18%,+1.23%,8.57%,-8.83%,51.16%,3.30%
ES,"Eversource Energy",91.56,Average,Weak,Strengthening,3.23,+4.26%,+1.37%,+6.59%,53.11%,82.06%,30.19%,10.13%
ESS,"Essex Property Trust",260.84,Average,Weak,Strongest,3.8,-0.30%,+2.15%,+1.25%,10.76%,14.90%,143.96%,50.64%
ETFC,"E*Trade Finl Corp",39.87,Soft,Weak,Weakening,3.25,+8.00%,+1.82%,+15.96%,15.40%,41.53%,259.82%,55.77%
ETN,"Eaton Corp",79.26,Weak,Weak,Strengthening,4.33,+0.66%,+0.66%,+0.80%,7.33%,15.57%,42.82%,-5.15%
ETR,"Entergy Corp",101.27,Soft,Weak,Strengthening,4.09,+9.09%,-2.17%,-12.77%,32.53%,27.96%,-7.38%,-12.94%
EVRG,"Evergy Inc",60.98,Soft,Weak,Strengthening,3.67,-1.26%,-3.33%,+10.00%,18.57%,57.41%,20.42%,97.86%
EW,"Edwards Lifesciences Corp",228.41,Strong,Soft,Strongest,4.32,+15.57%,+3.76%,+7.32%,133.62%,230.24%,218.29%,87.18%
EXC,"Exelon Corp",38.44,Weak,Weak,Strengthening,4.08,+4.55%,-4.76%,unch,9.73%,12.86%,34.73%,25.55%
EXPD,"Expeditors Intl",71.74,Soft,Weak,Strengthening,2.71,+2.22%,+10.00%,-5.88%,26.97%,54.41%,79.69%,24.54%
EXPE,"Expedia Group Inc",63.22,Weak,Soft,Strengthening,3.71,-12.29%,+5.00%,+6.56%,-52.10%,-36.07%,37.15%,109.37%
EXR,"Extra Space Storage Inc",93.1,Weak,Soft,Weakening,3.18,unch,+2.52%,+1.75%,15.70%,37.70%,111.76%,102.18%
F,"Ford Motor Company",5.12,Weak,Soft,Strengthening,3.25,+30.77%,+6.67%,+69.23%,-54.85%,-67.53%,3.48%,8.21%
FANG,"Diamondback Energy",31.52,Weak,Soft,Strengthening,4.55,-14.04%,-2.30%,+2.21%,-68.88%,-60.52%,209.37%,699.64%
FAST,"Fastenal Company",35.93,Strong,Soft,Strongest,3.18,-3.12%,+5.71%,-2.70%,57.11%,72.62%,66.27%,42.86%
FB,"Facebook Inc",179.24,Soft,Weak,Weakening,4.85,+10.99%,-52.11%,-48.80%,24.75%,119.85%,379.85%,467.12%
FBHS,"Fortune Brands Home & Security",46.6,Weak,Soft,Strengthening,3.92,-2.06%,unch,+6.78%,-25.82%,-0.34%,106.90%,43.63%
